Method,Silhouette_mean,Silhouette_std,DBI_mean,DBI_std,Cohen's d_mean,Cohen's d_std,Balance_mean,Balance_std,MCR_mean,MCR_std,LMR_mean,LMR_std,CSS_mean,CSS_std,CBS_mean,CBS_std,CRS_mean,CRS_std,ICES_mean,ICES_std,Feature
CRS_ASI,0.4457166666666666,0.10902317949255867,0.75775,0.15319562330562841,3.6415500000000005,0.8131842171365601,0.9574333333333334,0.023615983288160298,0.0020666666666666667,0.00368980577627965,1,0,0.91735,0.11649540334279287,0.9465833333333333,0.06059932067826064,1,0,0.95465,0.03796470729506549,CRS
CRS-Hier,0.44739999999999996,0.12411723490313503,0.7483166666666666,0.1534525257748033,3.6176333333333335,0.8427905568210091,0.9103,0.10852363797809213,0.012016666666666667,0.013222014470823525,0.9457166666666668,0.03009727008661527,0.9121999999999999,0.12821397739716214,0.7446833333333333,0.3814848432987432,0.8421833333333334,0.19877673321258366,0.8330333333333333,0.19559516013098757,CRS
CRS-KMeans,0.44884999999999997,0.11182913305574714,0.7584833333333333,0.17441673562667848,3.6357666666666666,0.8209477563564362,0.9130666666666666,0.11103658256028354,0.024883333333333337,0.02057876737481297,0.37041666666666667,0.14305694553801526,0.9267333333333333,0.09328630481837441,0.7569333333333333,0.3760806491521023,0.43331666666666663,0.18348435809808603,0.7056499999999999,0.16887695816777373,CRS
CRS_CI,0.4110166666666666,0.12655630235854184,0.8041333333333335,0.1932315571190862,3.25855,1.0518468705092012,0.96455,0.02743069448628671,0.020683333333333335,0.02115915089663729,0.9907333333333334,0.022698604949790778,0.6978666666666667,0.31311901677583664,0.9866333333333334,0.027830678516102814,0.7729333333333334,0.24759343825446317,0.81915,0.17498349350724485,CRS
CRS-GMM,0.4434666666666666,0.12475195656448305,0.7653833333333333,0.1684117741331249,3.4897500000000004,0.7193544849377114,0.9137833333333333,0.11117617400624408,0.02401666666666667,0.019212018807680434,0.31706666666666666,0.12629168882656794,0.8718499999999999,0.1928199445078232,0.7562666666666665,0.38923184693273316,0.35445,0.2665517717067362,0.66085,0.19855926822991668,CRS
IC50_CI,0.31738,0.12511087882354596,0.8827333333333333,0.13742779437459757,2.5031166666666667,1.335965265142274,0.8980666666666665,0.0533402537176818,0.03576666666666667,0.03474085011433466,0.9888833333333333,0.027230160973939654,0.38011666666666666,0.3881049570240847,0.6377166666666667,0.34952596136291025,0.7684000000000001,0.23204900344539298,0.5954166666666666,0.20038931525075548,IC50
IC50-Hier,0.32825,0.17258010024333628,0.8610000000000001,0.2475200840335992,2.3422,1.488074819355532,0.7652833333333334,0.12941374604989483,0.029666666666666664,0.043346495436963145,0.9737333333333335,0.04140549077920302,0.48874999999999996,0.2630443973932917,0.2957166666666667,0.45869244779772284,0.86585,0.1364306233951894,0.5501166666666667,0.25680575084422597,IC50
IC50-GMM,0.32825,0.17258010024333628,0.8610000000000001,0.2475200840335992,2.3422,1.488074819355532,0.7652833333333334,0.12941374604989483,0.03481666666666667,0.06121056825962872,0.18283333333333332,0.08720127674906294,0.48874999999999996,0.2630443973932917,0.2957166666666667,0.45869244779772284,0.37651666666666667,0.1668975783726854,0.38699999999999996,0.25178993625639606,IC50
IC50-KMeans,0.322,0.1621419624896652,0.8686333333333334,0.23861448125934578,2.320266666666667,1.4590667560693262,0.7662333333333334,0.13109060479937787,0.04123333333333333,0.07587349119861737,0.19116666666666668,0.10660235769750437,0.47428333333333333,0.2295592770215716,0.30415,0.47123711971787624,0.37273333333333336,0.21425735615531774,0.3837166666666667,0.26996560830347754,IC50
